City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Umm Lajj,25.0213,37.2685,72.39,60,0,7.29,SA,2022-12-14 21:52:51
144,Konza,-1.7426,37.1294,56.05,93,61,4.38,KE,2022-12-14 21:52:51
145,Jamestown,42.097,-79.2353,33.39,48,0,4.61,US,2022-12-14 21:51:26
146,Iquitos,-3.7481,-73.2472,87.84,62,40,5.75,PE,2022-12-14 21:52:52
147,New Norfolk,-42.7826,147.0587,51.3,66,55,6.35,AU,2022-12-14 21:52:52
148,Udachnyy,66.4167,112.4,-32.46,100,91,4.94,RU,2022-12-14 21:52:52
149,Gravdal,68.1214,13.5031,31.89,100,75,14.97,NO,2022-12-14 21:52:53
150,Chichli,22.8333,78.8167,63.84,43,30,4.38,IN,2022-12-14 21:52:53
151,Wawa,9.9022,4.4192,77.88,24,27,5.26,NG,2022-12-14 21:52:53
152,Concepcion Del Oro,24.6333,-101.4167,63.63,13,0,14.27,MX,2022-12-14 21:52:54
153,Kyra,49.5776,111.9753,-11.51,85,27,6.82,RU,2022-12-14 21:52:54
154,Kahului,20.8947,-156.47,83.97,59,20,8.99,US,2022-12-14 21:43:15
155,Hambantota,6.1241,81.1185,71.94,100,75,1.14,LK,2022-12-14 21:52:55
156,Manokwari,-0.8667,134.0833,78.85,81,100,7.05,ID,2022-12-14 21:52:55
157,Leningradskiy,69.3833,178.4167,-25.94,94,59,4.23,RU,2022-12-14 21:52:55
158,Itoman,26.1247,127.6694,64.42,66,75,13.8,JP,2022-12-14 21:52:56
159,Kondopoga,62.2057,34.2614,17.28,97,100,4.09,RU,2022-12-14 21:52:56
160,Nemuro,43.3236,145.575,26.31,50,6,31.45,JP,2022-12-14 21:52:56
161,Coracora,-15.0333,-73.7833,54.23,84,98,9.28,PE,2022-12-14 21:52:57
162,Samarai,-10.6167,150.6667,82.6,75,81,4.52,PG,2022-12-14 21:52:57
163,Nouadhibou,20.931,-17.0347,75.18,53,0,14.97,MR,2022-12-14 21:52:58
164,Waitati,-45.75,170.5667,63.81,70,100,4.45,NZ,2022-12-14 21:52:58
165,Praia,14.9215,-23.5087,77.54,65,0,16.11,CV,2022-12-14 21:45:58
166,Bocas Del Toro,9.3333,-82.25,79.97,72,28,5.41,PA,2022-12-14 21:52:58
167,Roebourne,-20.7833,117.1333,81.32,34,4,9.71,AU,2022-12-14 21:52:59
168,Kungurtug,50.5994,97.5228,-16.53,99,100,0.45,RU,2022-12-14 21:52:59
169,Hamilton,39.1834,-84.5333,50.45,96,100,11.5,US,2022-12-14 21:41:54
170,Bubaque,11.2833,-15.8333,82.36,56,0,8.66,GW,2022-12-14 21:52:59
171,Abonnema,4.7084,6.7931,79.77,78,14,5.86,NG,2022-12-14 21:53:00
172,Chalons-En-Champagne,48.9539,4.3672,31.33,91,100,3.31,FR,2022-12-14 21:53:00
173,Kualakapuas,-3.0091,114.3876,73.17,97,35,1.45,ID,2022-12-14 21:53:01
174,Cidreira,-30.1811,-50.2056,70.93,66,0,15.03,BR,2022-12-14 21:53:01
175,Gwadar,25.1216,62.3254,71.55,41,0,13.22,PK,2022-12-14 21:53:01
176,Guarapuava,-25.3953,-51.4581,63.14,83,87,3.31,BR,2022-12-14 21:53:02
177,Nanortalik,60.1432,-45.2371,16.57,64,1,9.19,GL,2022-12-14 21:53:02
178,Severo-Kurilsk,50.6789,156.125,33.44,98,100,25.46,RU,2022-12-14 21:53:02
179,Saskylakh,71.9167,114.0833,-14.82,96,95,7.78,RU,2022-12-14 21:53:03
180,Longyearbyen,78.2186,15.6401,-0.56,65,40,11.5,SJ,2022-12-14 21:43:17
181,Hadrut,39.52,47.0318,45.05,65,100,1.83,AZ,2022-12-14 21:53:03
182,Tambovka,50.0969,128.0489,-24.25,90,5,6.91,RU,2022-12-14 21:53:03
183,Saint Anthony,45.0205,-93.218,37.0,92,100,16.11,US,2022-12-14 21:45:36
184,Gonaives,19.45,-72.6833,76.53,65,0,3.49,HT,2022-12-14 21:53:04
185,Bundaberg,-24.85,152.35,74.21,48,79,5.01,AU,2022-12-14 21:53:04
186,Starobachaty,54.2425,86.2072,-10.07,99,61,0.63,RU,2022-12-14 21:53:05
187,Solenzo,12.1833,-4.0833,76.55,13,17,5.19,BF,2022-12-14 21:53:05
188,Makaleng,-20.9,27.2833,76.77,50,44,4.23,BW,2022-12-14 21:54:05
189,Hofn,64.2539,-15.2082,25.3,56,100,13.11,IS,2022-12-14 21:46:00
190,Sao Geraldo Do Araguaia,-6.4006,-48.555,79.36,76,100,0.29,BR,2022-12-14 21:54:06
191,Santa Rosalia,27.3167,-112.2833,60.66,42,3,12.01,MX,2022-12-14 21:54:07
192,Carballo,43.213,-8.691,55.87,92,100,6.2,ES,2022-12-14 21:54:08
193,Palmer,42.1584,-72.3287,34.0,61,20,16.11,US,2022-12-14 21:54:09
194,Grand Gaube,-20.0064,57.6608,73.8,88,27,7.0,MU,2022-12-14 21:54:11
195,Gazojak,41.1875,61.4036,37.85,71,7,0.74,TM,2022-12-14 21:54:12
196,Kavieng,-2.5744,150.7967,82.71,76,98,7.0,PG,2022-12-14 21:44:45
197,Opelousas,30.5335,-92.0815,56.88,76,100,14.97,US,2022-12-14 21:54:12
198,Berlevag,70.8578,29.0864,14.0,79,0,10.36,NO,2022-12-14 21:54:13
199,Ladario,-19.0047,-57.6017,98.89,41,75,9.22,BR,2022-12-14 21:54:13
200,Joshimath,30.5667,79.5667,45.7,12,0,9.84,IN,2022-12-14 21:54:14
201,Lata,40.1629,-8.3327,54.07,96,76,9.35,PT,2022-12-14 21:54:14
202,Yar-Sale,66.8333,70.8333,-0.72,94,33,11.95,RU,2022-12-14 21:54:15
203,Vaini,-21.2,-175.2,82.56,89,20,9.22,TO,2022-12-14 21:44:47
204,Cravo Norte,6.3017,-70.2041,82.96,65,80,6.51,CO,2022-12-14 21:54:15
205,Porto Novo,6.4965,2.6036,82.22,81,76,7.43,BJ,2022-12-14 21:48:33
206,Vestmannaeyjar,63.4427,-20.2734,30.27,91,100,10.8,IS,2022-12-14 21:54:16
207,Vila Velha,-20.3297,-40.2925,75.15,72,100,13.8,BR,2022-12-14 21:54:17
208,Port Elizabeth,-33.918,25.5701,68.09,92,0,6.91,ZA,2022-12-14 21:54:17
209,Ketchikan,55.3422,-131.6461,39.18,93,100,3.44,US,2022-12-14 21:54:18
210,Vardo,70.3705,31.1107,15.78,86,75,17.27,NO,2022-12-14 21:54:18
211,Nishihara,26.1842,127.7558,63.68,66,100,13.8,JP,2022-12-14 21:54:18
212,Sayhat,26.4852,50.0405,66.4,67,2,8.08,SA,2022-12-14 21:54:19
213,Palu,-0.8917,119.8707,75.09,96,100,1.7,ID,2022-12-14 21:50:57
214,Tyubuk,56.0552,60.9405,6.19,95,79,9.22,RU,2022-12-14 21:54:20
215,Hervey Bay,-25.2986,152.8535,72.0,48,81,10.31,AU,2022-12-14 21:54:20
216,Bireun,5.203,96.7009,74.32,93,100,5.5,ID,2022-12-14 21:54:20
217,Ayacucho,-13.1583,-74.2239,78.66,25,20,9.22,PE,2022-12-14 21:54:21
218,Orange Walk,17.8333,-88.8333,82.22,71,13,7.02,BZ,2022-12-14 21:54:21
219,Saint-Leu,-21.15,55.2833,76.03,80,18,4.21,RE,2022-12-14 21:54:22
220,Simao,22.7886,100.9748,54.1,93,100,1.57,CN,2022-12-14 21:54:22
221,Lanxi,29.2195,119.477,37.53,66,1,3.22,CN,2022-12-14 21:54:23
222,Aklavik,68.2191,-135.0107,7.12,92,100,13.49,CA,2022-12-14 21:54:24
223,Luderitz,-26.6481,15.1594,65.14,95,5,5.79,NA,2022-12-14 21:48:37
224,Lodwar,3.1191,35.5973,81.7,48,1,8.99,KE,2022-12-14 21:54:24
225,Huilong,31.8111,121.655,39.78,52,0,4.81,CN,2022-12-14 21:54:25
226,Vostok,46.4856,135.8833,-10.95,93,100,10.78,RU,2022-12-14 21:54:25
227,Avera,33.194,-82.5271,49.51,85,100,5.73,US,2022-12-14 21:54:26
228,Tomari,47.7658,142.0683,15.22,77,100,22.84,RU,2022-12-14 21:54:26
229,Londoko,49.0333,131.9833,-12.89,79,87,11.61,RU,2022-12-14 21:54:27
230,Ilulissat,69.2167,-51.1,15.6,89,100,7.58,GL,2022-12-14 21:54:27
231,Cochrane,51.1834,-114.4687,28.76,59,0,5.75,CA,2022-12-14 21:54:27
